,TradePrice
6932,6700000
7341,6000000
2145,6700000
5360,5300000
8883,6800000
5788,6900000
4976,7900000
5673,3700000
2538,8900000
1586,6000000
3680,5000000
7275,5500000
8597,6500000
4862,3500000
5326,7500000
3667,8300000
7830,3600000
2212,8600000
7165,6600000
723,4800000
4004,6000000
5674,5500000
3943,5500000
9972,7000000
1644,7400000
3737,6300000
9681,8600000
8784,5500000
1379,4000000
9126,6500000
1494,8400000
2870,8800000
9570,5000000
4254,5500000
3770,5000000
10017,8100000
738,7700000
6272,6000000
6482,4000000
4444,4000000
6936,5400000
4617,4500000
6475,7200000
8820,7000000
7602,7400000
3532,8500000
1175,3800000
3696,5000000
4913,6600000
7992,8200000
4381,6000000
4434,4000000
7632,8000000
1484,5000000
1938,6000000
1023,4800000
8193,8600000
3260,7500000
9484,7700000
6705,4000000
7490,4500000
7816,8800000
7260,7800000
170,8500000
203,5400000
2480,8500000
28,7700000
348,8300000
7400,5000000
1433,3500000
1157,6000000
6074,7600000
7118,6000000
5914,4000000
7420,6000000
6991,3700000
4465,4800000
9779,7500000
2110,8500000
9479,6500000
100,4000000
409,8800000
9376,4000000
1558,5400000
1718,7500000
5274,6500000
7637,5200000
4077,7200000
807,8800000
2973,4500000
3154,5000000
2894,8400000
7595,5300000
8135,4000000
1832,5200000
9982,6200000
2722,4800000
3854,8000000
9364,4100000
9065,6700000
9976,5900000
1854,3500000
9800,6100000
1861,5600000
5437,8000000
8702,6200000
9470,5500000
9765,4500000
2797,5200000
278,7900000
6745,4500000
2897,5200000
7530,8000000
6052,5800000
3055,8000000
5163,4700000
5679,8800000
5903,7800000
8747,3500000
6527,5900000
5655,8300000
4766,7700000
3052,4500000
8228,8400000
1901,7000000
4640,8300000
7217,3900000
7943,5000000
2725,4100000
9457,4000000
1386,4800000
2533,6600000
5683,4300000
8455,4300000
4011,4500000
9023,4500000
6360,7800000
6529,8400000
3956,6000000
7177,4100000
4898,4500000
7386,5100000
8774,5700000
8417,6800000
5617,5500000
8745,3700000
8145,8000000
6029,6500000
8133,3600000
6550,5900000
8576,5200000
1187,7500000
610,6800000
4352,3600000
3140,6500000
9166,6500000
8175,4500000
9402,7800000
9150,3500000
9999,5000000
2781,7900000
3088,8800000
8438,4000000
10031,5200000
1546,8000000
5187,7700000
8654,5000000
8540,8500000
1999,7300000
7796,3700000
9880,7000000
3745,5000000
3008,6000000
1615,7300000
6811,5400000
5714,5500000
7435,8000000
4411,5800000
44,3500000
8888,4500000
5527,8800000
8911,5500000
9672,5000000
845,4300000
4787,3800000
3029,6500000
9743,6500000
2972,7000000
2205,5000000
9889,6600000
1372,4300000
9270,5600000
3005,4900000
3788,3900000
8148,4000000
6260,8000000
9103,4500000
5656,8000000
4357,6800000
4683,4500000
7303,5000000
6573,5100000
8039,4500000
8698,4000000
1750,6000000
5366,4500000
9336,3500000
8253,7300000
7723,6000000
1884,8800000
8414,4000000
394,4700000
4327,8500000
9263,5000000
6868,6800000
533,7500000
3431,8000000
8801,7800000
3466,8500000
1087,5500000
6724,4300000
4042,4700000
1914,7500000
4948,7500000
8423,8000000
1538,6000000
1631,8200000
3488,4000000
1889,8400000
5709,4100000
4262,7500000
8769,8700000
9571,6800000
